Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
5933585490867878656,246.29109623827,-53.59610452876,5.0,0.8559,-8.093,-5.525,20.281425,,,,,200.0
4041832029773191552,266.49037279269,-33.78186454387,5.0,1.5086,-5.974,-5.895,19.407436,,,,,200.0
5237191384551062400,173.26132729276,-65.46152413893,5.0,0.8307,-9.737,-1.129,20.219837,20.641336,18.910305,1.731031,,200.0
1605892674317127936,220.11338142484,52.71240882862,5.0,0.0386,-168.862,55.72,16.351717,17.587196,15.249034,2.338162,,200.0
532128653931364992,24.81840095975,68.71564027291,5.0,0.0821,35.972,-22.173,17.615065,19.31518,16.351183,2.963997,,200.0
6693418772304252800,304.94523127501,-37.89727746708,5.0,0.0555,3.314,-48.671,16.45289,17.722158,15.347502,2.374657,,200.0
4319547771801141888,290.97262381533,13.74564332543,5.0,0.3844,-2.843,63.366,19.69295,21.51453,18.333366,3.181164,,200.0
4999786822436898176,13.21006741871,-38.55331111442,5.0,0.241,22.218,11.537,18.437126,19.748337,17.063862,2.684475,,200.0
4457547613633619072,240.54891505336,11.6200525296,5.0,1.7107,-4.056,-9.401,20.029346,20.983759,18.515888,2.467871,,200.0
3206194907530536960,68.32871817345,-1.27146305796,5.0,0.102,-22.479,29.821,17.623768,19.076721,16.460615,2.616106,,200.0
4520398275261176448,288.79586667242,22.70627813536,5.0,0.7207,-2.412,-5.815,18.994907,19.651834,17.963612,1.688223,,200.0
4136210564413450880,259.00860238591,-15.83660107543,5.0,1.513,-2.683,4.295,19.923336,20.041883,18.67156,1.370323,,200.0
2060481461862444032,303.52877296217,36.45462134638,5.0,0.1311,10.37,5.396,18.5025,20.231035,17.208817,3.022219,,200.0
6124450126592473984,214.04721172414,-31.71795266126,5.0,0.099,-37.859,-8.863,17.077106,18.814558,15.812728,3.00183,,200.0
4038759204002892032,272.28557140496,-36.02070994738,5.0,0.7354,-2.887,-3.521,19.8404,19.404099,18.459463,0.944635,,200.0
6733190547451724160,277.72239988732,-37.46278182238,5.0,1.3736,-0.212,-4.553,18.864714,18.848984,17.870008,0.978975,,200.0
2512105824307382656,27.36861550615,2.40112473042,5.0,0.9442,3.542,-3.456,20.036983,20.755608,18.611107,2.144501,,200.0
4050419795345592064,271.43229993799,-28.78921978477,5.0,0.9317,-5.899,-4.782,19.152782,18.7197,17.302555,1.417145,,200.0
6411276495113979392,331.14002603637,-58.52600524692,5.0,0.3035,-40.722,-23.217,19.603937,21.272442,18.247149,3.025293,,200.0
5644320817825438336,126.21509567028,-30.03734317527,5.0,0.0513,-23.319,21.51,16.582672,18.160305,15.341514,2.818791,,200.0
4356691301803341312,244.63917779028,-4.44260877292,5.0,0.2895,-23.307,-26.733,19.067764,21.017561,17.780836,3.236725,,200.0
2161526992763378304,270.99206012427,64.87583402802,5.0,0.0558,-3.829,19.606,17.214731,18.782272,15.998942,2.78333,,200.0
1966440949590762368,325.13258404707,41.04349500119,5.0,0.2876,39.818,27.654,19.61108,19.772955,19.332052,0.440903,,200.0
6028105901276450816,256.36736132892,-32.29973800521,5.0,1.342,-9.989,-7.244,20.47197,22.701996,20.36358,2.338415,,200.0
1752348065522170368,306.33374372436,8.76812708929,5.0,0.9297,5.093,-12.695,20.397976,21.171679,19.094566,2.077112,,200.0
4116583977040281856,263.85879868186,-23.63511541213,5.0,1.2538,-9.096,2.338,19.983828,20.435698,18.715834,1.719864,,200.0
4694951866496296320,32.22532858547,-67.22454444861,5.0,0.0192,80.781,69.308,9.902178,10.234274,9.398802,0.835472,31.01,200.0
5315487023440090368,124.55499153277,-57.87533495455,5.0,0.0268,-15.167,16.023,15.75482,16.975454,14.657747,2.317707,,200.0
2133083172415157888,289.87625684302,50.74199699486,5.0,0.3136,4.201,20.022,19.791708,21.33467,18.357973,2.976696,,200.0
6628357164593781248,337.16711572836,-22.05944423192,5.0,0.0431,4.117,-43.975,13.928566,14.673595,12.968369,1.705227,-20.06,200.0
2003155773147352832,340.76925184975,54.17340936737,5.0,0.1473,18.492,-8.642,18.09311,20.143835,16.675304,3.468531,,200.0
6437169306759230720,272.53726185103,-66.06093294794,5.0,1.0439,4.132,-9.417,19.794626,20.627254,18.613096,2.014158,,200.0
2674889968203746944,325.52859662788,-1.31269042651,5.0,0.0613,16.725,-19.36,16.452547,17.963621,15.253648,2.709973,,200.0
4040304636238857088,268.89010362706,-36.73970562701,5.0,0.5957,0.403,0.731,18.586184,18.985512,17.593681,1.39183,,200.0
6732576298388069504,285.01958219591,-33.88029465174,5.0,0.1114,-30.147,20.163,17.501165,19.02896,16.292322,2.736637,,200.0
1771887800188346880,322.85280383498,15.22913369322,5.0,0.0578,-11.269,8.623,16.543465,18.000849,15.364922,2.635927,,200.0
1834567487762031872,299.67697757392,25.21656779071,5.0,1.4203,-2.412,0.198,20.39216,21.101437,18.850914,2.250523,,200.0
3222268672313101952,81.29300619693,1.75100161158,5.0,0.0146,6.774,-1.234,13.380705,14.038744,12.603619,1.435125,-19.26,200.0
366225229900888064,6.16367327622,35.4807526275,5.0,0.7872,15.895,2.887,20.444744,21.450272,19.006178,2.444094,,200.0
4260829933861253632,286.94311054654,-3.48795362659,5.0,0.0176,-24.745,-37.523,12.675909,13.19494,12.002255,1.192684,-11.0,200.0
4036182120480282752,270.68290270872,-38.44928656947,5.0,1.151,-2.531,-11.411,20.488163,21.382423,19.563023,1.819401,,200.0
5696977151226560640,127.05845760542,-22.53115197537,5.0,0.2656,-35.087,-9.187,16.662148,17.837214,15.446345,2.390868,,200.0
793268571102192384,147.29122207126,31.84746537104,5.0,0.2321,-9.693,-31.654,9.725111,9.955123,9.319124,0.635999,2.51,200.0
4363224913430942208,259.26579542067,-4.79118282532,5.0,0.0265,15.36,-22.123,11.43679,11.97427,10.736404,1.237865,-1.45,200.0
4535134140559545728,278.6060402909,22.25815329101,5.0,0.0588,33.263,-28.38,16.907288,17.420359,15.390615,2.029743,,200.0
3995771524744446336,166.69291358418,25.26225436114,5.0,0.1155,-19.485,-9.058,17.34468,18.87682,16.141163,2.735657,,200.0
5149098817861390848,28.47100968415,-14.60273627315,5.0,0.0484,40.355,6.521,12.244159,12.662343,11.663912,0.998431,9.51,200.0
4538144706471843328,283.82363251341,27.42639547261,5.0,0.0142,-2.614,-46.139,14.09771,14.952281,13.190384,1.761897,-5.53,200.0
4043402372817166976,267.94698064198,-33.17327591961,5.0,0.9865,-4.312,-3.733,19.747389,19.706516,17.812878,1.893639,,200.0
2069806724914934400,308.57983591694,43.84102117251,5.0,0.0482,28.948,37.276,16.480587,17.5284,15.243519,2.284882,,200.0
3041159311714744320,113.53895162449,-10.01107592583,5.0,0.3432,-34.798,13.441,19.392996,19.56125,19.204935,0.356316,,200.0
4049565066826132480,274.75130188012,-29.66241474463,5.0,0.732,-8.555,-2.277,18.83033,18.739939,17.607908,1.13203,,200.0
4107920169005655936,259.90715713662,-28.09176836887,5.0,0.083,-46.393,-26.748,16.610693,18.134796,15.237271,2.897525,,200.0
4040589031741308416,268.03700340593,-36.00894884214,5.0,1.3005,-7.024,-2.872,19.879818,,,,,200.0
4065601164826383616,274.54425080801,-23.63254580338,5.0,0.7742,-6.228,-9.469,19.615486,,,,,200.0
4117394798104622208,265.897270715,-21.06907271408,5.0,2.5015,3.42,-1.639,20.419325,22.012968,18.31147,3.701498,,200.0
